ensemble,repeat,fold,model,weight,train_ap
cnn_mantis_moment_timemil,1,2,timemil_curves_scalars,0.4,0.3762988335410808
cnn_mantis_moment_timemil,1,3,current_cnn,0.2,0.39044540638981495
cnn_mantis_moment_timemil,1,3,mantis_random_frozen_curves_scalars,0.1,0.39044540638981495
cnn_mantis_moment_timemil,1,3,moment_small_frozen_curves_scalars,0.0,0.39044540638981495
cnn_mantis_moment_timemil,1,3,timemil_curves_scalars,0.7,0.39044540638981495
cnn_mantis_moment_timemil,1,4,current_cnn,0.4,0.3589772168609841
cnn_mantis_moment_timemil,1,4,mantis_random_frozen_curves_scalars,0.4,0.3589772168609841
cnn_mantis_moment_timemil,1,4,moment_small_frozen_curves_scalars,0.2,0.3589772168609841
cnn_mantis_moment_timemil,1,4,timemil_curves_scalars,0.0,0.3589772168609841
cnn_mantis_moment_timemil,2,0,current_cnn,0.8,0.3938222524551002
cnn_mantis_moment_timemil,2,0,mantis_random_frozen_curves_scalars,0.2,0.3938222524551002
cnn_mantis_moment_timemil,2,0,moment_small_frozen_curves_scalars,0.0,0.3938222524551002
cnn_mantis_moment_timemil,2,0,timemil_curves_scalars,0.0,0.3938222524551002
cnn_mantis_moment_timemil,2,1,current_cnn,0.7,0.3502231406798674
cnn_mantis_moment_timemil,2,1,mantis_random_frozen_curves_scalars,0.1,0.3502231406798674
cnn_mantis_moment_timemil,2,1,moment_small_frozen_curves_scalars,0.0,0.3502231406798674
cnn_mantis_moment_timemil,2,1,timemil_curves_scalars,0.2,0.3502231406798674
cnn_mantis_moment_timemil,2,2,current_cnn,0.4,0.38956688208669454
cnn_mantis_moment_timemil,2,2,mantis_random_frozen_curves_scalars,0.1,0.38956688208669454
cnn_mantis_moment_timemil,2,2,moment_small_frozen_curves_scalars,0.0,0.38956688208669454
cnn_mantis_moment_timemil,2,2,timemil_curves_scalars,0.5,0.38956688208669454
cnn_mantis_moment_timemil,2,3,current_cnn,0.0,0.42002823508413467
cnn_mantis_moment_timemil,2,3,mantis_random_frozen_curves_scalars,0.4,0.42002823508413467
cnn_mantis_moment_timemil,2,3,moment_small_frozen_curves_scalars,0.0,0.42002823508413467
cnn_mantis_moment_timemil,2,3,timemil_curves_scalars,0.6,0.42002823508413467
cnn_mantis_moment_timemil,2,4,current_cnn,0.6,0.3733022068482332
cnn_mantis_moment_timemil,2,4,mantis_random_frozen_curves_scalars,0.3,0.3733022068482332
cnn_mantis_moment_timemil,2,4,moment_small_frozen_curves_scalars,0.0,0.3733022068482332
cnn_mantis_moment_timemil,2,4,timemil_curves_scalars,0.1,0.3733022068482332
