index,model,segment,temporal_patch,mean,std
76,timemil_curves,7,5,0.005312047797028257,0.0014761750550780668
77,timemil_curves,7,6,0.004347089740659008,0.001289547048813173
78,timemil_curves,7,7,0.00457353815592888,0.0011712467514297437
79,timemil_curves,7,8,0.003906134997803655,0.0010565166859460024
80,timemil_curves,7,9,0.004203388480637849,0.00129389603889719
81,timemil_curves,7,10,0.004134044850914262,0.00122239832734339
82,timemil_curves,7,11,0.004365604924538932,0.0014733864368142967
83,timemil_curves,7,12,0.0040629302315852225,0.0014473994561317429
84,timemil_curves,8,1,0.0044585422288916,0.002185341505410537
85,timemil_curves,8,2,0.004449493885666383,0.001727453967662291
86,timemil_curves,8,3,0.004062968707338226,0.0009246533594859607
87,timemil_curves,8,4,0.004822077415492229,0.001288800762718671
88,timemil_curves,8,5,0.005064252063538097,0.0010857502460729163
89,timemil_curves,8,6,0.004111947782314187,0.0008744792771639113
90,timemil_curves,8,7,0.004469141477578077,0.0010973856504659044
91,timemil_curves,8,8,0.0038285512881189145,0.0008517990305946059
92,timemil_curves,8,9,0.004095721118711718,0.0009813353552373667
93,timemil_curves,8,10,0.0040262132695242136,0.001071089614127676
94,timemil_curves,8,11,0.004305793798113821,0.0013699188916605316
95,timemil_curves,8,12,0.004082839648403665,0.001521572980111458
96,timemil_curves,9,1,0.004765841095442218,0.0025260046139729104
97,timemil_curves,9,2,0.004845762335276622,0.0024763117065776372
98,timemil_curves,9,3,0.004219655975691599,0.0011363034531208561
99,timemil_curves,9,4,0.004950822613734219,0.0014714278646108694
100,timemil_curves,9,5,0.005135376823228635,0.0011686519936524192
101,timemil_curves,9,6,0.004214698873350725,0.001071436329639785
102,timemil_curves,9,7,0.004477538529415654,0.0010002141688302815
103,timemil_curves,9,8,0.0037917948940361873,0.0008999671052323963
104,timemil_curves,9,9,0.004032535948536257,0.0010449676643690575
105,timemil_curves,9,10,0.004041006944157935,0.0012199632197463354
106,timemil_curves,9,11,0.0043166099701217615,0.0014916491678643037
107,timemil_curves,9,12,0.004140281121876529,0.0016378621808142565
108,timemil_curves,10,1,0.0051216647912309884,0.002854028603962979
109,timemil_curves,10,2,0.005451920577285795,0.003205971804944446
110,timemil_curves,10,3,0.004615691550146444,0.002538502227040057
111,timemil_curves,10,4,0.005221756475492373,0.002514640836191104
112,timemil_curves,10,5,0.005230245444563632,0.0014442490448606806
113,timemil_curves,10,6,0.004276202561161598,0.0015774779565766797
114,timemil_curves,10,7,0.004547474774758981,0.0012517097913825874
115,timemil_curves,10,8,0.003865037185331697,0.0010496068163448613
116,timemil_curves,10,9,0.004270227084977224,0.0016749999356610867
117,timemil_curves,10,10,0.004200312014993969,0.001630186463764591
118,timemil_curves,10,11,0.004402697232587091,0.0014916581267373611
119,timemil_curves,10,12,0.00422049972410666,0.0018264764430478819
120,timemil_curves,11,1,0.00547731839004951,0.0030947330321769977
121,timemil_curves,11,2,0.005764098521987242,0.00331777085068165
122,timemil_curves,11,3,0.004815036398182553,0.002263616643990176
123,timemil_curves,11,4,0.005243406727902216,0.002120067730386023
124,timemil_curves,11,5,0.005254051744930071,0.001558955462047445
125,timemil_curves,11,6,0.004404918908947656,0.001997935809373402
126,timemil_curves,11,7,0.004685343817432074,0.0016832777470869801
127,timemil_curves,11,8,0.004002207343294402,0.0012821887029716914
128,timemil_curves,11,9,0.004331786551379732,0.0014822108013702406
129,timemil_curves,11,10,0.004379232417979911,0.001701480665732022
130,timemil_curves,11,11,0.004527249419963879,0.0017701077900037034
131,timemil_curves,11,12,0.004490822099223577,0.002381576323704198
132,timemil_curves,12,1,0.005288130146384772,0.002818444234837367
133,timemil_curves,12,2,0.005566042997119087,0.0031844570447890222
134,timemil_curves,12,3,0.004631225289698659,0.001826915156216633
135,timemil_curves,12,4,0.005072036174032055,0.0016024136221234767
136,timemil_curves,12,5,0.005084681772713025,0.0011561346189601898
137,timemil_curves,12,6,0.0041659610637487104,0.0010401536242858926
138,timemil_curves,12,7,0.00451502568937619,0.0012387817072757159
139,timemil_curves,12,8,0.004025837308688073,0.0013840217232479277
140,timemil_curves,12,9,0.0043700810178464765,0.0017634531827667177
141,timemil_curves,12,10,0.0042874834386772715,0.001829558044234659
142,timemil_curves,12,11,0.004484852596416976,0.0017654775851027019
143,timemil_curves,12,12,0.004244774657285952,0.001807460514103904
144,timemil_curves,13,1,0.005121943360867621,0.002659665428607586
145,timemil_curves,13,2,0.005154896122520836,0.0025220464456574172
146,timemil_curves,13,3,0.0043651730696741145,0.001278059570113419
147,timemil_curves,13,4,0.005071063051508943,0.00148691584844963
148,timemil_curves,13,5,0.005417749723967384,0.0015307425903291192
149,timemil_curves,13,6,0.0044408948830829765,0.0016114838618978336
150,timemil_curves,13,7,0.0048227954338922975,0.0016868910992872729
151,timemil_curves,13,8,0.004139168892826634,0.0014218167288732432
152,timemil_curves,13,9,0.004476644506212324,0.0015409800553962997
153,timemil_curves,13,10,0.004539191049813223,0.0019352767956820728
154,timemil_curves,13,11,0.004790122913267119,0.0018615926135173038
155,timemil_curves,13,12,0.004548775853917879,0.0020426526192286673
156,timemil_curves,14,1,0.004990796214204375,0.0028369723787852277
157,timemil_curves,14,2,0.004678234304868843,0.0021412517880644716
158,timemil_curves,14,3,0.004078082990746538,0.0009996521570194913
159,timemil_curves,14,4,0.004852026890759834,0.001408887655414638
160,timemil_curves,14,5,0.00501787950609568,0.00117638573697125
161,timemil_curves,14,6,0.004114005934767926,0.001245107410813537
