task,model,reference_model,n,delta_roc_auc,delta_roc_auc_ci_low,delta_roc_auc_ci_high,delta_average_precision,delta_average_precision_ci_low,delta_average_precision_ci_high,delta_brier_score,delta_brier_score_ci_low,delta_brier_score_ci_high
mid_roll2_rel12,noapex_shape_qc__variability_sparse,clinical_ridge,194,-0.07612781954887238,-0.1562811425487997,0.0008274933646386525,-0.02625377752880992,-0.10421839578391907,0.04682504337715487,0.005330270304809925,-0.007957544688131677,0.017161714213907744
mid_roll2_rel12,noapex_shape_qc__combined_trees,clinical_ridge,194,-0.08662280701754388,-0.20760699527744989,0.025840889063574044,-0.03251285416104652,-0.12098623660516569,0.04139238117381951,-0.044421015466578645,-0.07499319781025032,-0.01445334365385335
mid_roll2_rel12,noapex_shape_qc__gpu_curve_net,clinical_ridge,194,-0.0854479949874688,-0.17156359649122807,0.005761352887814548,-0.03844799730737042,-0.13639063151019626,0.048911457156257235,0.009850698341668351,-0.010249552438805324,0.028023578714314868
mid_roll2_rel15,original18__transmural_sparse,clinical_ridge,194,0.0,-0.12522415140066517,0.12721967468805712,-0.02258285252575626,-0.14496199775772614,0.05849174082623803,-0.02526778991276124,-0.04651832946512913,-0.001537909515494978
mid_roll2_rel15,original18__variability_sparse,clinical_ridge,194,-0.07920585161964477,-0.16568193779036,0.002671294334484897,-0.06291945585902942,-0.169115581669169,-0.013149984918840403,-0.005395354087704696,-0.02135101868682261,0.010065091541177653
mid_roll2_rel15,original18__combined_trees,clinical_ridge,194,-0.016509926854754386,-0.1432473904733902,0.11716962440823368,-0.006100684702245951,-0.10662966580549525,0.09029351715697977,-0.0937437604459962,-0.12109266477051904,-0.06635322150906463
mid_roll2_rel15,original18__gpu_curve_net,clinical_ridge,194,-0.0433646812957158,-0.15773682352609528,0.06915352324175535,-0.0456327728867294,-0.15897962500319518,0.033264964221220585,0.005398676907219846,-0.011717035648158316,0.024028102696482343
mid_roll2_rel15,noapex__transmural_sparse,clinical_ridge,194,-0.08714733542319747,-0.2150478746713409,0.03631334680868683,-0.05979817220790823,-0.19773241795990779,0.017162363732035984,-0.012718078748890554,-0.030555733179391763,0.00897797997657904
mid_roll2_rel15,noapex__variability_sparse,clinical_ridge,194,-0.11076280041797282,-0.18336934294675952,-0.0395533281897485,-0.04576986253134052,-0.12176131504749835,0.0020788942037623707,-0.006961264175164045,-0.020619601534588573,0.006674635968663199
mid_roll2_rel15,noapex__combined_trees,clinical_ridge,194,-0.07147335423197498,-0.19819219275734248,0.04298370781759839,-0.027743636592436144,-0.13481046125718468,0.05268748276288595,-0.09008626847394471,-0.1179145593613138,-0.06196712700222538
mid_roll2_rel15,noapex__gpu_curve_net,clinical_ridge,194,-0.08077324973876698,-0.20773133463671295,0.05387567112825166,-0.05867622324602373,-0.17523082233178622,0.024953519069083607,0.008628004929555094,-0.008662359763393041,0.025925543424950355
mid_roll2_rel15,noapex_fixed_qc__transmural_sparse,clinical_ridge,194,-0.06896551724137934,-0.19018376163596754,0.05338277072192508,-0.05360292598772942,-0.16268056054002492,0.01747596635049795,-0.014976853766545561,-0.032132575662435395,0.0036227338764768997
mid_roll2_rel15,noapex_fixed_qc__variability_sparse,clinical_ridge,194,-0.08025078369905958,-0.16742153432714732,-0.00046801411352781843,-0.04028501434590109,-0.11464407334191926,0.011981849730528809,-0.012365911726002099,-0.027206470032185473,0.002057324701375156
