task,model,n,events,prevalence,roc_auc,average_precision,brier_score,sensitivity_top20pct,precision_top20pct,roc_auc_ci_low,roc_auc_ci_high,average_precision_ci_low,average_precision_ci_high,brier_score_ci_low,brier_score_ci_high
mid_first_rel15,noapex_fixed_qc__combined_trees,238,49,0.20588235294117646,0.6054421768707483,0.2791903368637041,0.17699747875540495,0.32653061224489793,0.3333333333333333,0.5100835099576554,0.6982159643078009,0.2082198713814567,0.41254444918138033,0.15251708489568933,0.2025868321314654
mid_first_rel20,noapex_fixed_qc__transmural_sparse,262,29,0.11068702290076336,0.6454047654284445,0.2661977360462329,0.19494033069912506,0.3448275862068966,0.18867924528301888,0.53013637413453,0.7551581336831709,0.14708048323787506,0.4285635577559939,0.17181771116669908,0.2183311525761354
mid_first_rel20,noapex_fixed_qc__variability_sparse,262,29,0.11068702290076336,0.5999704010655617,0.21083821293517394,0.21161247612435535,0.3448275862068966,0.18867924528301888,0.4879571180555556,0.7092347935267858,0.11037027119763519,0.3599466948617207,0.19186499767236775,0.23297544426815106
mid_first_rel20,noapex_fixed_qc__combined_trees,262,29,0.11068702290076336,0.5656356371170638,0.12499261487794987,0.12109659845581969,0.1724137931034483,0.09433962264150944,0.4629377488575583,0.6648390866157067,0.08461475681674784,0.19720676668691572,0.09977779069327437,0.14874026566377532
mid_roll2_rel10,noapex_fixed_qc__transmural_sparse,194,51,0.26288659793814434,0.5687645687645688,0.3427726731984285,0.23785745807002606,0.2549019607843137,0.3333333333333333,0.47918321330215075,0.6597250762373914,0.2510896107268265,0.46384859181944327,0.22076688325589247,0.2531255337060619
mid_roll2_rel10,noapex_fixed_qc__variability_sparse,194,51,0.26288659793814434,0.5617715617715617,0.3010443906360142,0.2358212233599062,0.21568627450980393,0.28205128205128205,0.4612094078157307,0.6536920919758871,0.22559334512850998,0.4318790575268057,0.22270888458548926,0.2501175513052702
mid_roll2_rel10,noapex_fixed_qc__combined_trees,194,51,0.26288659793814434,0.5226929932812285,0.29112061793243954,0.2092437070102129,0.17647058823529413,0.23076923076923078,0.4256685588396102,0.6224575097067243,0.21103015866289201,0.4068799740705792,0.18529480665526618,0.23284331642862088
mid_roll2_rel12,noapex_fixed_qc__transmural_sparse,194,42,0.21649484536082475,0.5112781954887218,0.22093256640354214,0.23578932477829406,0.19047619047619047,0.20512820512820512,0.41481785742150024,0.60852071461574,0.16020768173910588,0.3166807444808773,0.22059649963757896,0.2506504488523446
mid_roll2_rel12,noapex_fixed_qc__variability_sparse,194,42,0.21649484536082475,0.5338345864661654,0.2414091676386673,0.2333266304921321,0.21428571428571427,0.23076923076923078,0.4240801895918798,0.6281401676612673,0.17582215680579225,0.3561845815575871,0.22105262677213042,0.2464811854110616
mid_roll2_rel12,noapex_fixed_qc__combined_trees,194,42,0.21649484536082475,0.538220551378446,0.24015494817313657,0.18713382001546783,0.23809523809523808,0.2564102564102564,0.4335535254388731,0.6422735400148375,0.17195667910084517,0.3426287111906855,0.16506747220165968,0.21195069610043854
