policy,feature_set,feature
noapex_fixed_qc,combined,cur_tm_curve_rms_iqr
noapex_fixed_qc,combined,d_tm_curve_rms_iqr
noapex_fixed_qc,combined,cur_tm_shape_rms_mean
noapex_fixed_qc,combined,d_tm_shape_rms_mean
noapex_fixed_qc,combined,cur_tm_shape_rms_median
noapex_fixed_qc,combined,d_tm_shape_rms_median
noapex_fixed_qc,combined,cur_tm_shape_rms_std
noapex_fixed_qc,combined,d_tm_shape_rms_std
noapex_fixed_qc,combined,cur_tm_shape_rms_robust_sd
noapex_fixed_qc,combined,d_tm_shape_rms_robust_sd
noapex_fixed_qc,combined,cur_tm_shape_rms_iqr
noapex_fixed_qc,combined,d_tm_shape_rms_iqr
noapex_fixed_qc,combined,cur_tm_segment_curve_correlation_mean
noapex_fixed_qc,combined,d_tm_segment_curve_correlation_mean
noapex_fixed_qc,combined,cur_tm_segment_curve_correlation_median
noapex_fixed_qc,combined,d_tm_segment_curve_correlation_median
noapex_fixed_qc,combined,cur_tm_segment_curve_correlation_std
noapex_fixed_qc,combined,d_tm_segment_curve_correlation_std
noapex_fixed_qc,combined,cur_tm_segment_curve_correlation_robust_sd
noapex_fixed_qc,combined,d_tm_segment_curve_correlation_robust_sd
noapex_fixed_qc,combined,cur_tm_segment_curve_correlation_iqr
noapex_fixed_qc,combined,d_tm_segment_curve_correlation_iqr
noapex_fixed_qc,combined,cur_tm_mean_gap_dct01
noapex_fixed_qc,combined,d_tm_mean_gap_dct01
noapex_fixed_qc,combined,cur_tm_mean_gap_dct02
noapex_fixed_qc,combined,d_tm_mean_gap_dct02
noapex_fixed_qc,combined,cur_tm_mean_gap_dct03
noapex_fixed_qc,combined,d_tm_mean_gap_dct03
noapex_fixed_qc,combined,cur_tm_mean_gap_dct04
noapex_fixed_qc,combined,d_tm_mean_gap_dct04
noapex_fixed_qc,combined,cur_tm_mean_gap_dct05
noapex_fixed_qc,combined,d_tm_mean_gap_dct05
noapex_fixed_qc,combined,cur_tm_mean_gap_dct06
noapex_fixed_qc,combined,d_tm_mean_gap_dct06
noapex_fixed_qc,combined,cur_tm_sd_gap_dct01
noapex_fixed_qc,combined,d_tm_sd_gap_dct01
noapex_fixed_qc,combined,cur_tm_sd_gap_dct02
noapex_fixed_qc,combined,d_tm_sd_gap_dct02
noapex_fixed_qc,combined,cur_tm_sd_gap_dct03
noapex_fixed_qc,combined,d_tm_sd_gap_dct03
noapex_fixed_qc,combined,cur_tm_sd_gap_dct04
noapex_fixed_qc,combined,d_tm_sd_gap_dct04
noapex_fixed_qc,combined,cur_tm_sd_gap_dct05
noapex_fixed_qc,combined,d_tm_sd_gap_dct05
noapex_fixed_qc,combined,cur_tm_sd_gap_dct06
noapex_fixed_qc,combined,d_tm_sd_gap_dct06
noapex_fixed_qc,combined,cur_tm_mean_shape_gap_dct01
noapex_fixed_qc,combined,d_tm_mean_shape_gap_dct01
noapex_fixed_qc,combined,cur_tm_mean_shape_gap_dct02
noapex_fixed_qc,combined,d_tm_mean_shape_gap_dct02
noapex_fixed_qc,combined,cur_tm_mean_shape_gap_dct03
noapex_fixed_qc,combined,d_tm_mean_shape_gap_dct03
noapex_fixed_qc,combined,cur_tm_mean_shape_gap_dct04
noapex_fixed_qc,combined,d_tm_mean_shape_gap_dct04
noapex_fixed_qc,combined,cur_tm_mean_shape_gap_dct05
noapex_fixed_qc,combined,d_tm_mean_shape_gap_dct05
noapex_fixed_qc,combined,cur_tm_mean_shape_gap_dct06
noapex_fixed_qc,combined,d_tm_mean_shape_gap_dct06
noapex_fixed_qc,combined,cur_tm_consensus_curve_correlation
noapex_fixed_qc,combined,d_tm_consensus_curve_correlation
noapex_fixed_qc,combined,cur_tm_consensus_phase_lag_fraction
noapex_fixed_qc,combined,d_tm_consensus_phase_lag_fraction
noapex_fixed_qc,combined,cur_q_total_curves
noapex_fixed_qc,combined,d_q_total_curves
noapex_fixed_qc,combined,cur_q_accepted_curves
noapex_fixed_qc,combined,d_q_accepted_curves
noapex_fixed_qc,combined,cur_q_accepted_fraction
noapex_fixed_qc,combined,d_q_accepted_fraction
noapex_fixed_qc,combined,cur_q_consensus_correlation_median
noapex_fixed_qc,combined,d_q_consensus_correlation_median
noapex_fixed_qc,combined,cur_var_endo_segments
noapex_fixed_qc,combined,d_var_endo_segments
noapex_fixed_qc,combined,cur_var_endo_accepted_fraction
noapex_fixed_qc,combined,d_var_endo_accepted_fraction
noapex_fixed_qc,combined,cur_var_endo_peak_mean
noapex_fixed_qc,combined,d_var_endo_peak_mean
noapex_fixed_qc,combined,cur_var_endo_peak_median
noapex_fixed_qc,combined,d_var_endo_peak_median
noapex_fixed_qc,combined,cur_var_endo_peak_std
noapex_fixed_qc,combined,d_var_endo_peak_std
noapex_fixed_qc,combined,cur_var_endo_peak_robust_sd
noapex_fixed_qc,combined,d_var_endo_peak_robust_sd
noapex_fixed_qc,combined,cur_var_endo_peak_iqr
noapex_fixed_qc,combined,d_var_endo_peak_iqr
noapex_fixed_qc,combined,cur_var_endo_peak_cv
noapex_fixed_qc,combined,d_var_endo_peak_cv
noapex_fixed_qc,combined,cur_var_endo_ttp_mean
noapex_fixed_qc,combined,d_var_endo_ttp_mean
noapex_fixed_qc,combined,cur_var_endo_ttp_median
noapex_fixed_qc,combined,d_var_endo_ttp_median
noapex_fixed_qc,combined,cur_var_endo_ttp_std
noapex_fixed_qc,combined,d_var_endo_ttp_std
noapex_fixed_qc,combined,cur_var_endo_ttp_robust_sd
noapex_fixed_qc,combined,d_var_endo_ttp_robust_sd
noapex_fixed_qc,combined,cur_var_endo_ttp_iqr
noapex_fixed_qc,combined,d_var_endo_ttp_iqr
noapex_fixed_qc,combined,cur_var_endo_ttp_circular_std
noapex_fixed_qc,combined,d_var_endo_ttp_circular_std
noapex_fixed_qc,combined,cur_var_endo_curve_dispersion_rms
noapex_fixed_qc,combined,d_var_endo_curve_dispersion_rms
noapex_fixed_qc,combined,cur_var_endo_curve_pairwise_rmse
noapex_fixed_qc,combined,d_var_endo_curve_pairwise_rmse
noapex_fixed_qc,combined,cur_var_endo_shape_dispersion_rms
noapex_fixed_qc,combined,d_var_endo_shape_dispersion_rms
noapex_fixed_qc,combined,cur_var_endo_shape_pairwise_rmse
noapex_fixed_qc,combined,d_var_endo_shape_pairwise_rmse
noapex_fixed_qc,combined,cur_var_endo_shape_incoherence
noapex_fixed_qc,combined,d_var_endo_shape_incoherence
noapex_fixed_qc,combined,cur_var_endo_roughness_median
noapex_fixed_qc,combined,d_var_endo_roughness_median
noapex_fixed_qc,combined,cur_var_endo_roughness_p90
noapex_fixed_qc,combined,d_var_endo_roughness_p90
noapex_fixed_qc,combined,cur_var_endo_impaired_fraction_lt15
