task,model,reference_model,n,delta_roc_auc,delta_roc_auc_ci_low,delta_roc_auc_ci_high,delta_average_precision,delta_average_precision_ci_low,delta_average_precision_ci_high,delta_brier_score,delta_brier_score_ci_low,delta_brier_score_ci_high
ef_first_rel10,combined_extra_trees,clinical_ridge,231,-0.11874197689345323,-0.22501546072974643,-0.014691940519679283,-0.11552064931145703,-0.23345840166313325,-0.012148457994480938,-0.061182090116703475,-0.08366028210911479,-0.034178739390077074
ef_first_rel10,gpu_segment_curve_net,clinical_ridge,231,-0.1509627727856227,-0.2527240962420475,-0.05152036540395559,-0.1430623835301549,-0.24764780947954848,-0.05579161632781682,0.012720615923652201,-0.0034545194086487464,0.027368251165163823
ef_first_rel15,clinical_plus_transmural_sparse,clinical_ridge,254,-0.08130999435347264,-0.19515063846118832,0.043131176683271814,0.03156005026767986,-0.0787253966647402,0.1677396898284762,-0.04347123338207115,-0.06375183317370606,-0.02213335102719426
ef_first_rel15,clinical_plus_variability_sparse,clinical_ridge,254,-0.07641633728590247,-0.14860117397287007,-0.014812798063919054,-0.04726425156060461,-0.1466398503830774,-0.009493211408255677,0.004749728309888429,-0.006235434610396463,0.01625870338828756
ef_first_rel15,combined_extra_trees,clinical_ridge,254,-0.08545078110295501,-0.20755084105674432,0.03404586732847143,0.006084475459873062,-0.13220390785980887,0.11639428623735829,-0.1266042377188781,-0.15223490737323397,-0.10032321590723153
ef_first_rel15,gpu_segment_curve_net,clinical_ridge,254,-0.09109730848861286,-0.22079873084291188,0.03855391946526309,-0.05391412537821011,-0.17873533716099682,0.007840147216432237,0.0045865296279221646,-0.018979969874660774,0.026334855063027365
ef_roll2_rel10,clinical_plus_transmural_sparse,clinical_ridge,175,-0.04322580645161289,-0.19698241358948446,0.09048402255639088,-0.08489221715689899,-0.25416958132402556,0.1300638246435587,-0.015276123671071506,-0.03871776147004668,0.006346003001934994
ef_roll2_rel10,clinical_plus_variability_sparse,clinical_ridge,175,-0.14548387096774185,-0.2283632685808097,-0.07311391757313143,-0.1713383199736967,-0.27135430620841966,-0.0484840999967271,0.022285769445184955,0.008222426370796163,0.0357006427181146
ef_roll2_rel10,combined_extra_trees,clinical_ridge,175,-0.13645161290322572,-0.2789213463163043,-0.0010352328431373129,-0.20171396803901592,-0.3627601395865443,-0.009817340973843706,-0.07807651594637327,-0.1080554935195188,-0.045428194377382825
ef_roll2_rel10,gpu_segment_curve_net,clinical_ridge,175,-0.20645161290322578,-0.34390047769232185,-0.0653508003697757,-0.24750700337490636,-0.4089735002222751,-0.07447994927037226,0.048608675318934175,0.0254377414640814,0.06783332347571945
ef_roll3_rel10,clinical_plus_transmural_sparse,clinical_ridge,82,-0.048986486486486625,-0.3007486675549634,0.21338961038961038,0.003827603412586089,-0.24034474236223327,0.3066736685157128,-0.003291704694062786,-0.03778859148592709,0.02941508553070178
ef_roll3_rel10,clinical_plus_variability_sparse,clinical_ridge,82,-0.05236486486486491,-0.19444889031156634,0.09111904761904764,-0.07810576675481821,-0.31507890288144796,0.015974527809313483,0.02310333098833786,-0.006487230005464355,0.048886288823338085
ef_roll3_rel10,combined_extra_trees,clinical_ridge,82,-0.06756756756756765,-0.3045326278659611,0.19299046703516792,-0.07642386571035,-0.33460918664119105,0.039638578108277575,-0.10904281577378025,-0.15052856781371235,-0.06248268153763162
ef_roll3_rel10,gpu_segment_curve_net,clinical_ridge,82,-0.022804054054054168,-0.18155712530712528,0.1466811779769526,-0.023953014836973402,-0.16154540579181037,0.11593418375363626,-0.002117888768989551,-0.029518570968680744,0.023935463615356475
