outcome,model,reference_model,n,delta_roc_auc,delta_roc_auc_ci_low,delta_roc_auc_ci_high,delta_average_precision,delta_average_precision_ci_low,delta_average_precision_ci_high,delta_brier_score,delta_brier_score_ci_low,delta_brier_score_ci_high
ef_absolute_drop_7,clinical_plus_transmural,clinical_ridge,95,-0.1732594936708861,-0.3555630081300815,0.008712121212121202,-0.11233757099689151,-0.37045730045716724,0.10211325464305218,0.021568525865450966,-0.008675310024589537,0.05274369207591545
ef_absolute_drop_7,clinical_plus_variability,clinical_ridge,95,0.024525316455696222,-0.14822705455970211,0.20738035113035103,-0.07290799934423359,-0.2941042366393503,0.109852642317457,0.015570563549343885,-0.02388650000541415,0.054713752118847866
ef_absolute_drop_7,combined_sparse,clinical_ridge,95,0.025316455696202556,-0.14394196489784722,0.18786766785451658,-0.003663591772431418,-0.24103666575635782,0.2483258277017381,-0.01329411300423125,-0.03990817110069038,0.01650560342300633
ef_absolute_drop_7,combined_extra_trees,clinical_ridge,95,0.05696202531645567,-0.10044156626506037,0.22928494973938937,0.009459197744931702,-0.24100457750009052,0.22483542692041486,-0.010911431702630842,-0.02903992466291331,0.007087837446241118
ef_absolute_drop_10,transmural_only_sparse,clinical_ridge,95,-0.24350649350649356,-0.41570304695304705,-0.08430361757105954,-0.10667688346630717,-0.28293644927502765,-0.00437438700920586,0.006957533080578934,-0.009737042774371582,0.025071202046084085
ef_absolute_drop_10,variability_only_sparse,clinical_ridge,95,0.07305194805194792,-0.2289429320679321,0.35721153846153847,0.09980982102692629,-0.18110729698577993,0.4097647206100892,-0.0015682719975328302,-0.021686862176387954,0.023388574997181385
ef_absolute_drop_10,clinical_plus_transmural,clinical_ridge,95,-0.17532467532467533,-0.34070228866740504,-0.03443590704647676,-0.09234395369789286,-0.2759640124507979,0.00015381329337565695,0.014791558322447537,-0.00442329891735018,0.03895907732558415
ef_absolute_drop_10,clinical_plus_variability,clinical_ridge,95,0.06493506493506473,-0.14400757575757564,0.2642771535580522,0.12515208533445613,-0.1374002479606363,0.49166703097121817,-0.008063894767800436,-0.02712661021442358,0.015399267647223203
ef_absolute_drop_10,combined_sparse,clinical_ridge,95,-0.1655844155844156,-0.3118619283941865,-0.04310113088616974,-0.09770861007277491,-0.2976483024242433,-0.01174423193161406,0.008261982497741932,-0.009007954223067828,0.02810387395500161
concordant_mid15_ef5,transmural_only_sparse,clinical_ridge,95,0.06117647058823528,-0.2855679434564524,0.3822596899224806,0.0032001504595740304,-0.18600743317157625,0.12431737431043532,-0.0007030974771494586,-0.024054964356011364,0.025419630028640373
concordant_mid15_ef5,variability_only_sparse,clinical_ridge,95,0.05882352941176466,-0.3017233383224066,0.40527661993179215,0.016374792647399827,-0.20816670550386035,0.21200755943969668,-4.6085079747237856e-05,-0.02736367406455417,0.0294038696347843
concordant_mid15_ef5,clinical_plus_transmural,clinical_ridge,95,0.027058823529411746,-0.2942340538625089,0.36691017316017305,0.026669560630805805,-0.16751064552829822,0.26016696167746906,-7.810970935293038e-05,-0.022774835066701842,0.025273706354625353
concordant_mid15_ef5,clinical_plus_variability,clinical_ridge,95,0.14823529411764708,-0.19698989898989905,0.5051792091281248,0.0584165152219536,-0.13520249437166793,0.3326413963180952,-0.009100774208760862,-0.035405890258972575,0.02019117601159162
concordant_mid15_ef5,combined_sparse,clinical_ridge,95,0.09176470588235291,-0.28036175710594313,0.4740168539325841,0.10829886886408757,-0.13729590993485807,0.3600813292875081,-0.01419796994797913,-0.037312219494331146,0.012192933914844738
concordant_mid15_ef5,combined_extra_trees,clinical_ridge,95,0.0870588235294118,-0.309264816204051,0.5065570724456265,0.048346200572781134,-0.17130793550860812,0.270113226149415,-0.008932562138016312,-0.026778542037720583,0.010272262354229643
either_mid15_or_ef5,transmural_only_sparse,clinical_ridge,95,-0.142602495543672,-0.258341988619347,-0.025621047877145475,-0.11631257470174772,-0.2507483637214898,0.02380616040608708,0.03975467616986694,0.006309350361222993,0.07333608912431677
either_mid15_or_ef5,variability_only_sparse,clinical_ridge,95,-0.029857397504456373,-0.11924897052605275,0.05053823844325253,-0.0216433663654928,-0.12694993507712524,0.09252124821284206,0.021469072996060434,-0.00030959812217722663,0.044276777012551345
either_mid15_or_ef5,clinical_plus_transmural,clinical_ridge,95,-0.16131907308377902,-0.2659767891682784,-0.04844155374887078,-0.14449979819907477,-0.25672968321013817,-0.02089333742377798,0.04667607855945832,0.014792803109514713,0.07569368138600176
either_mid15_or_ef5,clinical_plus_variability,clinical_ridge,95,-0.06818181818181823,-0.1556419133192389,0.00577390661938525,-0.10034161856074597,-0.19904113627728043,0.0024227092905500878,0.02353695675303416,0.0026153420986023412,0.04785804288955272
either_mid15_or_ef5,combined_sparse,clinical_ridge,95,-0.1421568627450982,-0.24351027941939687,-0.0368232939420827,-0.14379199439322232,-0.25496627472848005,-0.011968850251627187,0.04259881170574603,0.01566085203912695,0.06751227334024094
either_mid15_or_ef5,combined_extra_trees,clinical_ridge,95,-0.07709447415329773,-0.163931636340173,2.2461814914514043e-05,-0.06767875092470488,-0.16592668269936922,0.038284791478155965,0.02236887833821491,0.00031479266400822394,0.04463652067025666
