model,subgroup_variable,subgroup,n,events,prevalence,roc_auc,average_precision,sensitivity_at_global_top20,false_positive_rate_at_global_top20,precision_at_global_top20,mean_score,roc_auc_ci_low,roc_auc_ci_high,average_precision_ci_low,average_precision_ci_high
attention_binary,ef_group,EF >=55,210,42,0.2,0.6855867346938775,0.3449419424166279,0.2619047619047619,0.18452380952380953,0.2619047619047619,0.4721640443044996,0.6027526229976876,0.763699289968398,0.24855901391140495,0.4740551783453824
attention_binary,endo_mid_gap_group,gap high,80,17,0.2125,0.8169934640522876,0.5139806162328113,0.4117647058823529,0.14285714285714285,0.4375,0.46776251792907714,0.7275253026029732,0.9055058732269504,0.3298645292637618,0.7459682726257025
attention_binary,endo_mid_gap_group,gap low,80,15,0.1875,0.7882051282051282,0.41634935928872685,0.3333333333333333,0.13846153846153847,0.35714285714285715,0.4598853886127472,0.6681118264284086,0.8983383303679356,0.2595811243738275,0.701832519215333
attention_binary,endo_mid_gap_group,gap middle,78,17,0.21794871794871795,0.4435872709739634,0.2440870377774479,0.058823529411764705,0.2786885245901639,0.05555555555555555,0.4806713568858611,0.30461641391614624,0.5966032990771274,0.13590088421954954,0.40740585806020674
attention_binary,variability_group,variability high,80,8,0.1,0.6944444444444444,0.2444912448245098,0.125,0.08333333333333333,0.14285714285714285,0.39040339589118955,0.4604114452798664,0.8768963675213676,0.08547866979276146,0.5495808756194785
attention_binary,variability_group,variability low,81,24,0.2962962962962963,0.5928362573099415,0.3704889909582632,0.25,0.3157894736842105,0.25,0.5298169296955375,0.4848558325732239,0.6931316766902839,0.2537790017773329,0.5277855348399263
attention_binary,variability_group,variability middle,77,17,0.22077922077922077,0.6352941176470588,0.36602817910076674,0.35294117647058826,0.18333333333333332,0.35294117647058826,0.48775006991960274,0.4693349358974359,0.7889032178825841,0.19957110322155347,0.6217316632704966
attention_binary,curve_qc_group,all curves pass,185,44,0.23783783783783785,0.6357994842037396,0.3397642051755022,0.2727272727272727,0.24113475177304963,0.2608695652173913,0.4999634682595193,0.5532786666666667,0.7229585200260632,0.25890084101224375,0.4762848147507911
attention_binary,curve_qc_group,at least one rejected,53,5,0.09433962264150944,0.7541666666666667,0.2521052631578947,0.2,0.020833333333333332,0.5,0.36247088174400094,0.6,0.9029229797979798,0.07323743386243385,0.6657326007326007
attention_binary,label_margin_group,3-8% from threshold,50,18,0.36,0.53125,0.4532941525933759,0.2222222222222222,0.25,0.3333333333333333,0.49840955098470047,0.3549755480862403,0.7205895030425963,0.28306445610911646,0.6679179563590637
attention_binary,label_margin_group,>8% from threshold,157,16,0.10191082802547771,0.7158687943262412,0.17894258124748658,0.3125,0.15602836879432624,0.18518518518518517,0.44929824411995584,0.6036626799126799,0.8137181223102862,0.10858990034113428,0.33738482880413884
attention_binary,label_margin_group,within 3% of threshold,31,15,0.4838709677419355,0.6583333333333333,0.6301917083031634,0.26666666666666666,0.3125,0.4444444444444444,0.5239966607862904,0.44346428571428576,0.8526315789473685,0.4217080099505285,0.8592048535614712
