split,seed_index,shapelet_index,importance_abs_standardized_coefficient_sum,coef_minimum_distance,coef_best_match_location,coef_shapelet_occurrence,startpoint,length_points,dilation,effective_span,normalized,threshold,source_class,dominant_inputs
3,1,1065,0.16222434594366086,-0.06992123912323792,0.025297456103785573,0.06700565071663736,38,11,1,11,True,957.4858889275803,1,S05:change_mid;S05:change_endo;S07:current_mid;S04:current_mid;S06:change_mid
8,1,872,0.16186270096412783,-0.0872491515694923,0.06645735439607124,0.008156194998564296,40,11,1,11,True,1149.9727465507513,1,S12:change_endo;S02:current_endo_minus_mid;S04:current_endo_minus_mid;S04:change_endo_minus_mid;S10:current_endo
9,2,803,0.1618216757169897,0.012469090269986074,-0.06914764333286053,-0.08020494211414309,49,11,1,11,False,12370.766495796579,0,S06:current_endo;S06:current_mid;S02:current_endo;S15:current_endo;S02:current_mid
12,2,124,0.16179180276457422,-0.011530001636155621,0.006573075577694076,0.14368872555072454,43,11,2,21,False,6915.87982262366,1,S14:current_endo;S05:current_endo;S01:current_endo;S15:current_endo;S05:current_mid
11,0,179,0.1617603688262886,-0.0661969875123564,0.05467408429185335,0.04088929702207885,74,11,2,21,True,878.949922788413,1,S10:change_endo_minus_mid;S04:change_endo_minus_mid;S03:change_endo_minus_mid;S02:change_endo_minus_mid;S02:current_mid
4,1,1148,0.1616452678332593,0.05059733903011211,0.054325085476844705,-0.05672284332630249,11,11,3,31,True,753.9817583127004,0,S14:change_endo_minus_mid;S05:change_endo_minus_mid;S12:current_endo_minus_mid;S07:current_endo_minus_mid;S18:current_endo_minus_mid
13,0,1063,0.1615845891530685,0.04258250049780921,-0.08825742242724711,-0.03074466622801216,84,11,1,11,False,8928.46371766609,0,S15:current_endo;S18:change_endo;S15:current_mid;S08:current_endo;S06:change_mid
5,0,1039,0.16143703532316356,0.04103332129464564,0.03143672852615915,-0.08896698550235876,62,11,1,11,False,7284.691635340728,0,S09:current_endo;S18:current_endo;S09:current_mid;S18:current_mid;S13:current_endo
9,0,91,0.16134041216438408,0.03149933686977352,-0.024761582604236478,-0.10507949269037409,52,11,2,21,False,14590.292500718178,0,S01:change_mid;S01:change_endo;S05:current_endo;S18:current_endo;S06:current_endo
9,2,963,0.16133033638241517,-0.021389998721420406,-0.07835576247210446,0.06158457518889031,43,11,1,11,False,9413.053397634772,1,S14:current_endo;S05:current_endo;S15:current_endo;S01:current_endo;S14:current_mid
