split,transition_index,segment,attention_weight
0,115,6,0.039069242775440216
0,115,7,0.05103682726621628
0,115,8,0.07357241213321686
0,115,9,0.05195457115769386
0,115,10,0.03803166374564171
0,115,11,0.04723593220114708
0,115,12,0.03971114754676819
0,115,13,0.06505436450242996
0,115,14,0.05897294357419014
0,115,15,0.07916326075792313
0,115,16,0.0923706442117691
0,115,17,0.054222408682107925
0,115,18,0.061023466289043427
0,124,1,0.046360503882169724
0,124,2,0.04493413865566254
0,124,3,0.035493798553943634
0,124,4,0.0442834235727787
0,124,5,0.05612660571932793
0,124,6,0.03788686543703079
0,124,7,0.0526488833129406
0,124,8,0.08483394980430603
0,124,9,0.056415095925331116
0,124,10,0.04127668961882591
0,124,11,0.055350955575704575
0,124,12,0.04597165063023567
0,124,13,0.08774082362651825
0,124,14,0.04780295491218567
0,124,15,0.06917187571525574
0,124,16,0.093035489320755
0,124,17,0.05022565647959709
0,124,18,0.050440698862075806
0,125,1,0.048833731561899185
0,125,2,0.044577743858098984
0,125,3,0.034166429191827774
0,125,4,0.04552082344889641
0,125,5,0.06271906942129135
0,125,6,0.0402136892080307
0,125,7,0.05239734426140785
0,125,8,0.08082833141088486
0,125,9,0.05657901242375374
0,125,10,0.040400661528110504
0,125,11,0.04885758087038994
0,125,12,0.043444227427244186
0,125,13,0.07217158377170563
0,125,14,0.05441150814294815
0,125,15,0.07678873836994171
0,125,16,0.0869281142950058
0,125,17,0.05745597556233406
0,125,18,0.053705424070358276
0,126,1,0.04679498076438904
0,126,2,0.04617365449666977
0,126,3,0.036375079303979874
0,126,4,0.049115609377622604
0,126,5,0.06450610607862473
0,126,6,0.037782568484544754
0,126,7,0.05706559121608734
0,126,8,0.08353826403617859
0,126,9,0.0498221255838871
0,126,10,0.03720134496688843
0,126,11,0.048336438834667206
0,126,12,0.03882046416401863
0,126,13,0.07617396116256714
0,126,14,0.05663532763719559
0,126,15,0.07455486804246902
0,126,16,0.0921529158949852
0,126,17,0.05015162378549576
0,126,18,0.05479910969734192
0,127,1,0.04568400979042053
0,127,2,0.060057833790779114
0,127,3,0.037909798324108124
0,127,4,0.048034485429525375
0,127,5,0.06892391294240952
0,127,6,0.04384012892842293
0,127,7,0.04898786544799805
0,127,8,0.07806289941072464
0,127,9,0.06449560075998306
0,127,10,0.043520208448171616
0,127,11,0.04588520899415016
0,127,12,0.04300006106495857
0,127,13,0.0797581821680069
0,127,14,0.043671879917383194
0,127,15,0.07269160449504852
0,127,16,0.08204924315214157
0,127,17,0.048582907766103745
0,127,18,0.04484416916966438
0,144,1,0.05623793229460716
0,144,2,0.03995906561613083
0,144,3,0.041754238307476044
0,144,4,0.04458572342991829
0,144,5,0.07142194360494614
0,144,6,0.05311517044901848
0,144,7,0.05349256470799446
0,144,8,0.07640040665864944
0,144,9,0.05333608016371727
0,144,10,0.04242471605539322
0,144,11,0.040767088532447815
0,144,12,0.04052891582250595
0,144,13,0.0688537061214447
0,144,14,0.047438088804483414
0,144,15,0.07397753745317459
0,144,16,0.08101073652505875
0,144,17,0.06046720966696739
0,144,18,0.054228927940130234
0,145,1,0.05257327854633331
0,145,2,0.04938199743628502
0,145,3,0.036316562443971634
0,145,4,0.05191006883978844
0,145,5,0.05044826120138168
0,145,6,0.0371687114238739
0,145,7,0.04873523861169815
0,145,8,0.0829925611615181
0,145,9,0.06424137204885483
0,145,10,0.04146089404821396
0,145,11,0.052024248987436295
0,145,12,0.04338042438030243
0,145,13,0.06270728260278702
0,145,14,0.046936921775341034
0,145,15,0.05885054171085358
0,145,16,0.09376777708530426
0,145,17,0.07530774921178818
0,145,18,0.05179613083600998
0,146,1,0.039968110620975494
0,146,2,0.04052819311618805
0,146,3,0.029651060700416565
0,146,4,0.04320000857114792
0,146,5,0.091890849173069
0,146,6,0.040389906615018845
0,146,7,0.04656801372766495
0,146,8,0.08160977810621262
0,146,9,0.05276847630739212
0,146,10,0.03638805076479912
0,146,11,0.047347571700811386
0,146,12,0.03652600571513176
0,146,13,0.08717059344053268
